,ss_id,pv_system_id,provider,installed_capacity_kw
442,10532,60219,solar_sheffield_passiv,3.0
443,10533,60299,solar_sheffield_passiv,3.0
444,10548,60462,solar_sheffield_passiv,3.0
445,10585,60658,solar_sheffield_passiv,2.5
446,10589,60797,solar_sheffield_passiv,1.5
447,10620,61157,solar_sheffield_passiv,2.0
448,10630,61459,solar_sheffield_passiv,3.0
449,10631,61460,solar_sheffield_passiv,3.0
450,10649,61591,solar_sheffield_passiv,2.0
451,10702,62557,solar_sheffield_passiv,2.0
452,10704,62717,solar_sheffield_passiv,3.0
453,10791,63917,solar_sheffield_passiv,3.92
454,10792,63937,solar_sheffield_passiv,2.5
455,10793,63938,solar_sheffield_passiv,3.0
456,10794,63940,solar_sheffield_passiv,2.0
457,10835,64138,solar_sheffield_passiv,3.0
458,10837,64141,solar_sheffield_passiv,2.5
459,10838,64147,solar_sheffield_passiv,2.0
460,10840,64157,solar_sheffield_passiv,3.5
461,10841,64177,solar_sheffield_passiv,2.5
462,10842,64201,solar_sheffield_passiv,2.0
463,10843,64218,solar_sheffield_passiv,3.0
464,10890,64498,solar_sheffield_passiv,2.5
465,10929,64698,solar_sheffield_passiv,2.5
466,10973,65297,solar_sheffield_passiv,2.5
467,10975,65338,solar_sheffield_passiv,2.5
468,10976,65360,solar_sheffield_passiv,2.5
469,11040,65545,solar_sheffield_passiv,3.0
470,11042,65547,solar_sheffield_passiv,2.5
471,11175,66015,solar_sheffield_passiv,3.0
472,11176,66017,solar_sheffield_passiv,3.0
473,11287,66417,solar_sheffield_passiv,2.5
474,11438,66735,solar_sheffield_passiv,2.0
475,11465,66783,solar_sheffield_passiv,2.5
476,11494,66897,solar_sheffield_passiv,3.0
477,11522,67060,solar_sheffield_passiv,2.5
478,11573,67338,solar_sheffield_passiv,3.0
479,11591,67437,solar_sheffield_passiv,2.0
480,11628,67678,solar_sheffield_passiv,2.0
481,11656,67897,solar_sheffield_passiv,3.0
482,11657,67938,solar_sheffield_passiv,2.0
483,11685,68101,solar_sheffield_passiv,2.5
484,11687,68106,solar_sheffield_passiv,2.0
485,11811,68381,solar_sheffield_passiv,2.0
486,11865,68499,solar_sheffield_passiv,2.0
487,11895,68677,solar_sheffield_passiv,2.0
488,11987,68927,solar_sheffield_passiv,2.0
489,12013,68998,solar_sheffield_passiv,1.5
490,12035,69069,solar_sheffield_passiv,2.0
491,12091,69180,solar_sheffield_passiv,3.0
492,12092,69184,solar_sheffield_passiv,3.0
493,12314,69487,solar_sheffield_passiv,2.0
494,12451,69884,solar_sheffield_passiv,3.5
495,12495,70044,solar_sheffield_passiv,2.0
496,12647,70463,solar_sheffield_passiv,3.5
497,12761,70636,solar_sheffield_passiv,3.0
498,12772,70710,solar_sheffield_passiv,2.0
499,12826,70804,solar_sheffield_passiv,2.5
500,12847,70839,solar_sheffield_passiv,2.0
501,12860,70870,solar_sheffield_passiv,2.5
502,12887,70901,solar_sheffield_passiv,2.5
503,12919,70957,solar_sheffield_passiv,2.5
504,12920,70958,solar_sheffield_passiv,2.0
505,13012,71097,solar_sheffield_passiv,2.5
506,13052,71177,solar_sheffield_passiv,2.0
507,13057,71197,solar_sheffield_passiv,2.5
508,13308,71797,solar_sheffield_passiv,2.0
509,13309,71875,solar_sheffield_passiv,2.5
510,13310,71880,solar_sheffield_passiv,3.0
511,13311,71881,solar_sheffield_passiv,2.0
512,13388,72006,solar_sheffield_passiv,4.0
513,13389,72017,solar_sheffield_passiv,3.0
514,13498,72597,solar_sheffield_passiv,2.0
515,13499,72598,solar_sheffield_passiv,2.0
516,13570,73017,solar_sheffield_passiv,2.5
